idProducto,nombreProducto,descripcion,precio,stock,categoria
1,Laptop Dell XPS 15,Portatil con procesador Intel i7 y 16GB RAM,7500000.00,25,Ropa
2,Smartphone Samsung S23,Telefono de alta gama con 256GB almacenamiento,4800000.00,40,Hogar
3,Teclado Mecanico HyperX,Teclado mec nico RGB para gaming,350000.00,60,Deportes
4,Mouse Logitech G502,Mouse ergon¢mico con sensor de alta precision,290000.00,50,Alimentos
"5,Monitor LG 27"" 4K,Pantalla UHD con tecnolog¡a IPS,1800000.00,30,Electr¢nica"
6,Disco Duro SSD 1TB,Unidad de almacenamiento s¢lida r pida y confiable,550000.00,45,Ropa
7,Impresora HP LaserJet,Impresora l ser monocrom tica de alta velocidad,820000.00,20,Hogar
8,Auriculares Sony WH-1000XM4,Auriculares inal mbricos con cancelaci¢n de ruido,1200000.00,35,Deportes
9,Silla Gamer Cougar Armor,Silla ergon¢mica con soporte lumbar,950000.00,15,Alimentos
10,Tablet Apple iPad Air,Pantalla Retina y procesador M1,3400000.00,25,Electr¢nica
11,C mara Canon EOS R5,C mara mirrorless de 45MP,12500000.00,10,Ropa
12,Microondas LG 25L,Microondas con grill y m£ltiples funciones,420000.00,30,Hogar
13,Refrigerador Samsung 500L,Nevera No Frost con dispensador de agua,3600000.00,12,Deportes
"14,Smart TV Sony 55"",Televisor 4K con Android TV,4500000.00,20,Alimentos"
15,Reloj Inteligente Apple Watch,Serie 8 con GPS y resistencia al agua,2100000.00,40,Electr¢nica
16,Barra de Sonido Bose,Sonido envolvente con conectividad Bluetooth,1300000.00,18,Ropa
17,Consola PlayStation 5,Nueva generaci¢n de videojuegos,3000000.00,22,Hogar
18,Joystick Xbox Elite,Control profesional con botones programables,800000.00,25,Deportes
19,Cargador R pido Samsung 25W,Compatible con USB-C y carga r pida,120000.00,55,Alimentos
20,Router TP-Link AX1800,WiFi 6 con alta velocidad y cobertura,450000.00,28,Electr¢nica
21,Set de Ollas Tefal,Juego de cocina con antiadherente,320000.00,35,Ropa
22,Ventilador de Torre,Oscilaci¢n y control remoto,280000.00,30,Hogar
23,Cafetera Nespresso,M quina de caf‚ con sistema de c psulas,650000.00,25,Deportes
24,Aspiradora Xiaomi Robot,Aspiradora inteligente con mapeo,1100000.00,15,Alimentos
25,Escritorio de Oficina,Madera y metal con dise¤o moderno,570000.00,20,Electr¢nica
26,L mpara LED Philips,Luz blanca ajustable para escritorio,95000.00,40,Ropa
27,Parlantes JBL Charge 5,Parlante port til resistente al agua,620000.00,30,Hogar
28,Disco Externo 2TB,Almacenamiento port til con USB 3.0,380000.00,50,Deportes
29,Smartphone iPhone 14,Nuevo modelo con A15 Bionic,5500000.00,25,Alimentos
"30,Monitor Curvo Samsung 32"",Pantalla Full HD con 165Hz,2000000.00,22,Electr¢nica"
31,Tablet Samsung Galaxy Tab S8,Pantalla AMOLED de 11 pulgadas con S Pen,3200000.00,20,Ropa
